Position,ID,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,realAbbrev
RB,M.Davis,Mike Davis,3000,Sea@SF 08:25PM ET,1.967,SF,SF
WR,A.Dobson,Aaron Dobson,3000,NYJ@NE 01:00PM ET,6.367,NE,NE
RB,B.Pierce,Bernard Pierce,3000,Buf@Jax 09:30AM ET,0.96,Jax,JAC
WR,S.Bailey,Stedman Bailey,3000,Cle@StL 01:00PM ET,6.22,StL,STL
RB,S.Ware,Spencer Ware,3000,Pit@KC 01:00PM ET,0,KC,KC
WR,Q.Enunwa,Quincy Enunwa,3000,NYJ@NE 01:00PM ET,3.48,NYJ,NYJ
WR,J.Hunter,Justin Hunter,3000,Atl@Ten 01:00PM ET,5.52,Ten,TEN
WR,K.Stills,Kenny Stills,3000,Hou@Mia 01:00PM ET,6.14,Mia,MIA
RB,J.Prosch,Jay Prosch,3000,Hou@Mia 01:00PM ET,0.467,Hou,HOU
RB,J.Fowler,Jalston Fowler,3000,Atl@Ten 01:00PM ET,2.02,Ten,TEN
WR,T.Jones,TJ Jones,3000,Min@Det 01:00PM ET,0.2,Det,DET
RB,O.Darkwa,Orleans Darkwa,3000,Dal@NYG 04:25PM ET,0,NYG,NYG
RB,R.Nix,Roosevelt Nix,3000,Pit@KC 01:00PM ET,0,Pit,PIT
WR,R.Streater,Rod Streater,3000,Oak@SD 04:05PM ET,1.8,Oak,OAK
RB,M.Murphy,Marcus Murphy,3000,NO@Ind 01:00PM ET,1,NO,NO
RB,A.Williams,Andre Williams,3000,Dal@NYG 04:25PM ET,3.45,NYG,NYG
RB,R.Smith,Rod Smith,3000,Dal@NYG 04:25PM ET,0.5,Dal,DAL
WR,W.Powell,Walt Powell,3000,Oak@SD 04:05PM ET,0,Oak,OAK
RB,M.Johnson,Malcolm Johnson,3000,Cle@StL 01:00PM ET,0.733,Cle,CLE
RB,J.White,James White,3000,NYJ@NE 01:00PM ET,1.85,NE,NE
WR,B.Coleman,Brandon Coleman,3000,NO@Ind 01:00PM ET,4.383,NO,NO
RB,M.Burton,Michael Burton,3000,Min@Det 01:00PM ET,0.517,Det,DET
WR,A.Wilson,Albert Wilson,3000,Pit@KC 01:00PM ET,5.05,KC,KC
RB,C.Grant,Corey Grant,3000,Buf@Jax 09:30AM ET,0.417,Jax,JAC
TE,V.McDonald,Vance McDonald,2500,Sea@SF 08:25PM ET,1.62,SF,SF
WR,M.Hazel,Matt Hazel,3000,Hou@Mia 01:00PM ET,0,Mia,MIA
WR,K.Mumphery,Keith Mumphery,3000,Hou@Mia 01:00PM ET,3.833,Hou,HOU
WR,J.Hardy,Justin Hardy,3000,Atl@Ten 01:00PM ET,0,Atl,ATL
WR,J.Nelson,J.J. Nelson,3000,Bal@Ari 08:30PM ET,-0.5,Ari,ARI
WR,A.Holmes,Andre Holmes,3000,Oak@SD 04:05PM ET,3.06,Oak,OAK
WR,C.Fuller,Corey Fuller,3000,Min@Det 01:00PM ET,1.62,Det,DET
WR,G.Davis,Geremy Davis,3000,Dal@NYG 04:25PM ET,0.683,NYG,NYG
RB,J.Olawale,Jamize Olawale,3000,Oak@SD 04:05PM ET,2.233,Oak,OAK
RB,J.McKinnon,Jerick McKinnon,3000,Min@Det 01:00PM ET,1.6,Min,MIN
WR,C.Brown,Corey Brown,3000,Phi@Car 08:30PM ET,5.24,Car,CAR
RB,Z.Zenner,Zach Zenner,3000,Min@Det 01:00PM ET,1.517,Det,DET
RB,T.Magee,Terrence Magee,3000,Bal@Ari 08:30PM ET,0,Bal,BAL
RB,T.Ward,Terron Ward,3000,Atl@Ten 01:00PM ET,3.267,Atl,ATL
WR,C.Conley,Chris Conley,3000,Pit@KC 01:00PM ET,2.683,KC,KC
WR,C.Matthews,Chris Matthews,3000,Sea@SF 08:25PM ET,1.567,Sea,SEA
WR,S.Coates,Sammie Coates,3000,Pit@KC 01:00PM ET,0.525,Pit,PIT
RB,T.West,Terrance West,3000,Atl@Ten 01:00PM ET,1.55,Ten,TEN
WR,P.Dorsett,Phillip Dorsett,3000,NO@Ind 01:00PM ET,5.217,Ind,IND
WR,R.Ross,Rashad Ross,3000,TB@Was 01:00PM ET,3.72,Was,WAS
WR,M.Lee,Marqise Lee,3000,Buf@Jax 09:30AM ET,4.1,Jax,JAC
WR,D.Waller,Darren Waller,3000,Bal@Ari 08:30PM ET,0.76,Bal,BAL
WR,D.Parker,DeVante Parker,3000,Hou@Mia 01:00PM ET,1.78,Mia,MIA
WR,D.White,DeAndrew White,3000,Sea@SF 08:25PM ET,1.267,SF,SF
WR,B.Marquez,Bradley Marquez,3000,Cle@StL 01:00PM ET,0,StL,STL
TE,E.Ebron,Eric Ebron,3000,Min@Det 01:00PM ET,11.225,Det,DET
WR,D.Smith,Devin Smith,3000,NYJ@NE 01:00PM ET,3.433,NYJ,NYJ
RB,R.Mostert,Raheem Mostert,3000,Bal@Ari 08:30PM ET,0,Bal,BAL
RB,J.Robinson,Josh Robinson,3000,NO@Ind 01:00PM ET,2.44,Ind,IND
WR,D.Thomas,De'Anthony Thomas,3000,Pit@KC 01:00PM ET,3.383,KC,KC
WR,B.Golden,Brittan Golden,3000,Bal@Ari 08:30PM ET,0,Ari,ARI
WR,C.Patterson,Cordarrelle Patterson,3000,Min@Det 01:00PM ET,0.78,Min,MIN
RB,D.Williams,Damien Williams,3000,Hou@Mia 01:00PM ET,3.42,Mia,MIA
TE,B.Bell,Blake Bell,2500,Sea@SF 08:25PM ET,0.783,SF,SF
WR,D.Funchess,Devin Funchess,3000,Phi@Car 08:30PM ET,2.24,Car,CAR
RB,C.Artis-Payne,Cameron Artis-Payne,3000,Phi@Car 08:30PM ET,1.033,Car,CAR
WR,L.Whitehead,Lucky Whitehead,3000,Dal@NYG 04:25PM ET,0.175,Dal,DAL
WR,J.Strong,Jaelen Strong,3000,Hou@Mia 01:00PM ET,10.4,Hou,HOU
WR,A.Thielen,Adam Thielen,3000,Min@Det 01:00PM ET,3.32,Min,MIN
RB,K.Robinson,Khiry Robinson,3000,NO@Ind 01:00PM ET,8.45,NO,NO
WR,T.Gabriel,Taylor Gabriel,3000,Cle@StL 01:00PM ET,5.283,Cle,CLE
WR,D.Dye,Donteea Dye,3000,TB@Was 01:00PM ET,0,TB,TB
DST,T.,Texans ,2900,Hou@Mia 01:00PM ET,4.667,Hou,HOU
DST,J.,Jets ,2900,NYJ@NE 01:00PM ET,9.6,NYJ,NYJ
TE,J.Tamme,Jacob Tamme,2900,Atl@Ten 01:00PM ET,8.4,Atl,ATL
TE,L.Green,Ladarius Green,2900,Oak@SD 04:05PM ET,13.18,SD,SD
DST,G.,Giants ,2800,Dal@NYG 04:25PM ET,7.667,NYG,NYG
TE,J.Cook,Jared Cook,2800,Cle@StL 01:00PM ET,6.38,StL,STL
DST,C.,Chiefs ,2700,Pit@KC 01:00PM ET,5.333,KC,KC
DST,D.,Dolphins ,2700,Hou@Mia 01:00PM ET,7.4,Mia,MIA
DST,E.,Eagles ,2700,Phi@Car 08:30PM ET,10.833,Phi,PHI
