"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Julio Jones",9100,"Atl@Ten 01:00PM ET",25.300,"Atl"
"WR","Odell Beckham Jr.",8700,"Dal@NYG 04:25PM ET",19.533,"NYG"
"WR","DeAndre Hopkins",8600,"Hou@Mia 01:00PM ET",28.100,"Hou"
"QB","Tom Brady",8500,"NYJ@NE 01:00PM ET",27.472,"NE"
"RB","Le'Veon Bell",8400,"Pit@KC 01:00PM ET",22.925,"Pit"
"WR","Julian Edelman",8200,"NYJ@NE 01:00PM ET",22.840,"NE"
"TE","Rob Gronkowski",8100,"NYJ@NE 01:00PM ET",20.300,"NE"
"WR","Dez Bryant",8100,"Dal@NYG 04:25PM ET",9.800,"Dal"
"WR","Antonio Brown",7900,"Pit@KC 01:00PM ET",19.617,"Pit"
"RB","Devonta Freeman",7900,"Atl@Ten 01:00PM ET",30.183,"Atl"
"WR","Brandon Marshall",7800,"NYJ@NE 01:00PM ET",24.420,"NYJ"
"WR","Calvin Johnson",7700,"Min@Det 01:00PM ET",16.800,"Det"
"WR","Keenan Allen",7700,"Oak@SD 04:05PM ET",23.183,"SD"
"RB","Adrian Peterson",7600,"Min@Det 01:00PM ET",17.020,"Min"
"QB","Andrew Luck",7600,"NO@Ind 01:00PM ET",20.400,"Ind"
"RB","Arian Foster",7500,"Hou@Mia 01:00PM ET",16.167,"Hou"
"WR","Larry Fitzgerald",7400,"Bal@Ari 08:30PM ET",23.717,"Ari"
"QB","Matt Ryan",7200,"Atl@Ten 01:00PM ET",17.707,"Atl"
"QB","Drew Brees",7000,"NO@Ind 01:00PM ET",19.988,"NO"
"RB","Marshawn Lynch",6900,"Sea@SF 08:25PM ET",10.575,"Sea"
"QB","Eli Manning",6800,"Dal@NYG 04:25PM ET",18.573,"NYG"
"QB","Ben Roethlisberger",6800,"Pit@KC 01:00PM ET",20.793,"Pit"
"QB","Carson Palmer",6700,"Bal@Ari 08:30PM ET",22.247,"Ari"
"QB","Cam Newton",6600,"Phi@Car 08:30PM ET",22.724,"Car"
"QB","Philip Rivers",6500,"Oak@SD 04:05PM ET",22.973,"SD"
"QB","Russell Wilson",6500,"Sea@SF 08:25PM ET",17.570,"Sea"
"WR","T.Y. Hilton",6500,"NO@Ind 01:00PM ET",14.100,"Ind"
"RB","Dion Lewis",6500,"NYJ@NE 01:00PM ET",17.740,"NE"
"WR","Amari Cooper",6500,"Oak@SD 04:05PM ET",16.760,"Oak"
"RB","DeMarco Murray",6400,"Phi@Car 08:30PM ET",16.920,"Phi"
"WR","Jeremy Maclin",6400,"Pit@KC 01:00PM ET",17.317,"KC"
"WR","Jordan Matthews",6400,"Phi@Car 08:30PM ET",13.733,"Phi"
"WR","Mike Evans",6400,"TB@Was 01:00PM ET",8.350,"TB"
"WR","Allen Robinson",6400,"Buf@Jax 09:30AM ET",18.300,"Jax"
"RB","Mark Ingram",6300,"NO@Ind 01:00PM ET",17.283,"NO"
"WR","Steve Smith Sr.",6200,"Bal@Ari 08:30PM ET",22.800,"Bal"
"WR","Jarvis Landry",6200,"Hou@Mia 01:00PM ET",17.280,"Mia"
"TE","Greg Olsen",6100,"Phi@Car 08:30PM ET",17.080,"Car"
"RB","Justin Forsett",6100,"Bal@Ari 08:30PM ET",15.600,"Bal"
"QB","Sam Bradford",6100,"Phi@Car 08:30PM ET",16.173,"Phi"
"RB","Latavius Murray",6100,"Oak@SD 04:05PM ET",15.080,"Oak"
"RB","Chris Ivory",5800,"NYJ@NE 01:00PM ET",22.050,"NYJ"
"QB","Joe Flacco",5700,"Bal@Ari 08:30PM ET",18.267,"Bal"
"WR","DeSean Jackson",5700,"TB@Was 01:00PM ET",0.000,"Was"
"QB","Matthew Stafford",5700,"Min@Det 01:00PM ET",17.250,"Det"
"QB","Ryan Tannehill",5700,"Hou@Mia 01:00PM ET",18.188,"Mia"
"RB","LeSean McCoy",5500,"Buf@Jax 09:30AM ET",13.325,"Buf"
"WR","John Brown",5500,"Bal@Ari 08:30PM ET",16.333,"Ari"
"RB","Joseph Randle",5500,"Dal@NYG 04:25PM ET",14.320,"Dal"
"WR","Brandin Cooks",5500,"NO@Ind 01:00PM ET",12.383,"NO"
"TE","Jimmy Graham",5400,"Sea@SF 08:25PM ET",13.067,"Sea"
"WR","Travis Benjamin",5400,"Cle@StL 01:00PM ET",19.800,"Cle"
"QB","Blake Bortles",5400,"Buf@Jax 09:30AM ET",21.850,"Jax"
"QB","Marcus Mariota",5400,"Atl@Ten 01:00PM ET",17.352,"Ten"
"WR","Vincent Jackson",5300,"TB@Was 01:00PM ET",13.520,"TB"
"QB","Brian Hoyer",5300,"Hou@Mia 01:00PM ET",19.205,"Hou"
"WR","Eric Decker",5300,"NYJ@NE 01:00PM ET",16.225,"NYJ"
"QB","Tyrod Taylor",5300,"Buf@Jax 09:30AM ET",21.596,"Buf"
"QB","Derek Carr",5300,"Oak@SD 04:05PM ET",16.548,"Oak"
"WR","Allen Hurns",5300,"Buf@Jax 09:30AM ET",17.333,"Jax"
"QB","Josh McCown",5200,"Cle@StL 01:00PM ET",21.268,"Cle"
"QB","Ryan Fitzpatrick",5200,"NYJ@NE 01:00PM ET",18.076,"NYJ"
"WR","Golden Tate",5200,"Min@Det 01:00PM ET",11.467,"Det"
"WR","Kendall Wright",5200,"Atl@Ten 01:00PM ET",12.800,"Ten"
"WR","Sammy Watkins",5200,"Buf@Jax 09:30AM ET",9.425,"Buf"
"WR","Donte Moncrief",5200,"NO@Ind 01:00PM ET",15.283,"Ind"
"QB","Alex Smith",5100,"Pit@KC 01:00PM ET",16.803,"KC"
"QB","Nick Foles",5100,"Cle@StL 01:00PM ET",12.708,"StL"
"QB","Landry Jones",5100,"Pit@KC 01:00PM ET",14.620,"Pit"
"QB","EJ Manuel",5100,"Buf@Jax 09:30AM ET",7.173,"Buf"
"QB","Teddy Bridgewater",5100,"Min@Det 01:00PM ET",11.864,"Min"
"QB","Jameis Winston",5100,"TB@Was 01:00PM ET",16.232,"TB"
"QB","Matt Hasselbeck",5000,"NO@Ind 01:00PM ET",15.800,"Ind"
"QB","Mike Vick",5000,"Pit@KC 01:00PM ET",6.348,"Pit"
"QB","Matt Cassel",5000,"Dal@NYG 04:25PM ET",0.000,"Dal"
"QB","Charlie Whitehurst",5000,"Atl@Ten 01:00PM ET",0,"Ten"
"QB","Tarvaris Jackson",5000,"Sea@SF 08:25PM ET",0,"Sea"
"QB","Derek Anderson",5000,"Phi@Car 08:30PM ET",0,"Car"
"QB","Dan Orlovsky",5000,"Min@Det 01:00PM ET",5.320,"Det"
"QB","Kellen Clemens",5000,"Oak@SD 04:05PM ET",6.520,"SD"
