"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Miles Austin",3000,"Phi@Car 08:30PM ET",4.383,"Phi"
"WR","Nate Washington",3000,"Hou@Mia 01:00PM ET",9.250,"Hou"
"WR","Dwayne Bowe",3000,"Cle@StL 01:00PM ET",0.000,"Cle"
"RB","Tyler Clutts",3000,"Dal@NYG 04:25PM ET",0.280,"Dal"
"WR","Harry Douglas",3000,"Atl@Ten 01:00PM ET",4.500,"Ten"
"WR","Eric Weems",3000,"Atl@Ten 01:00PM ET",0.000,"Atl"
"WR","Matthew Slater",3000,"NYJ@NE 01:00PM ET",0.000,"NE"
"WR","Jerricho Cotchery",3000,"Phi@Car 08:30PM ET",6.900,"Car"
"RB","Jerome Felton",3000,"Buf@Jax 09:30AM ET",0.033,"Buf"
"RB","Ahmad Bradshaw",3000,"NO@Ind 01:00PM ET",2.600,"Ind"
"RB","Mike Tolbert",3000,"Phi@Car 08:30PM ET",3.480,"Car"
"WR","Andrew Hawkins",3000,"Cle@StL 01:00PM ET",6.433,"Cle"
"WR","Seyi Ajirotutu",3000,"Phi@Car 08:30PM ET",0.000,"Phi"
"WR","Marlon Moore",3000,"Cle@StL 01:00PM ET",0.500,"Cle"
"RB","Darrel Young",3000,"TB@Was 01:00PM ET",0.500,"Was"
"WR","Louis Murphy",3000,"TB@Was 01:00PM ET",5.180,"TB"
"WR","Brian Hartline",3000,"Cle@StL 01:00PM ET",3.633,"Cle"
"RB","Donald Brown",3000,"Oak@SD 04:05PM ET",0,"SD"
"RB","Jorvorskie Lane",3000,"TB@Was 01:00PM ET",0.000,"TB"
"RB","Shaun Draughn",3000,"Cle@StL 01:00PM ET",0.620,"Cle"
"RB","Marcel Reece",3000,"Oak@SD 04:05PM ET",9.780,"Oak"
"RB","Bruce Miller",3000,"Sea@SF 08:25PM ET",2.983,"SF"
"WR","Bryan Walters",3000,"Buf@Jax 09:30AM ET",8.060,"Jax"
"WR","Andre Roberts",3000,"TB@Was 01:00PM ET",2.400,"Was"
"WR","Jacoby Jones",3000,"Oak@SD 04:05PM ET",0.000,"SD"
"WR","Riley Cooper",3000,"Phi@Car 08:30PM ET",7.250,"Phi"
"RB","Fred Jackson",3000,"Sea@SF 08:25PM ET",5.533,"Sea"
"RB","Boobie Dixon",3000,"Buf@Jax 09:30AM ET",2.817,"Buf"
"WR","Jeremy Ross",3000,"Bal@Ari 08:30PM ET",5.500,"Bal"
"RB","Chase Reynolds",3000,"Cle@StL 01:00PM ET",0.000,"StL"
"WR","Joseph Morgan",3000,"NO@Ind 01:00PM ET",0.000,"NO"
"RB","Fozzy Whittaker",3000,"Phi@Car 08:30PM ET",2.300,"Car"
"WR","Marcus Easley",3000,"Buf@Jax 09:30AM ET",0.000,"Buf"
"RB","Matt Asiata",3000,"Min@Det 01:00PM ET",2.860,"Min"
"RB","Taiwan Jones",3000,"Oak@SD 04:05PM ET",2.300,"Oak"
"WR","Charles Johnson",3000,"Min@Det 01:00PM ET",3.533,"Min"
"WR","Brian Quick",3000,"Cle@StL 01:00PM ET",1.000,"StL"
"RB","Daniel Herron",3000,"Buf@Jax 09:30AM ET",3.250,"Buf"
"WR","Denarius Moore",3000,"Buf@Jax 09:30AM ET",-0.500,"Buf"
"WR","Dontrelle Inman",3000,"Oak@SD 04:05PM ET",4.520,"SD"
"TE","Coby Fleener",3000,"NO@Ind 01:00PM ET",7.300,"Ind"
"WR","Jeremy Kerley",3000,"NYJ@NE 01:00PM ET",3.060,"NYJ"
"RB","Anthony Sherman",3000,"Pit@KC 01:00PM ET",0.550,"KC"
"RB","Will Tukuafu",3000,"Sea@SF 08:25PM ET",0.000,"Sea"
"RB","Robert Turbin",3000,"Cle@StL 01:00PM ET",2.700,"Cle"
"RB","Will Johnson",3000,"Pit@KC 01:00PM ET",1.117,"Pit"
"RB","Bobby Rainey",3000,"TB@Was 01:00PM ET",0.840,"TB"
"RB","Roy Helu Jr.",3000,"Oak@SD 04:05PM ET",4.625,"Oak"
"RB","Patrick DiMarco",3000,"Atl@Ten 01:00PM ET",1.350,"Atl"
"RB","Austin Johnson",3000,"NO@Ind 01:00PM ET",1.880,"NO"
"RB","Chris Polk",3000,"Hou@Mia 01:00PM ET",5.733,"Hou"
"RB","Jarryd Hayne",3000,"Sea@SF 08:25PM ET",0.533,"SF"
"RB","Kenjon Barner",3000,"Phi@Car 08:30PM ET",0.000,"Phi"
"WR","Brice Butler",3000,"Dal@NYG 04:25PM ET",2.567,"Dal"
"RB","Zach Line",3000,"Min@Det 01:00PM ET",2.700,"Min"
"WR","Chris Owusu",3000,"NYJ@NE 01:00PM ET",4.750,"NYJ"
"WR","Griff Whalen",3000,"NO@Ind 01:00PM ET",2.267,"Ind"
"WR","Brenton Bersin",3000,"Phi@Car 08:30PM ET",3.900,"Car"
"RB","Jonathan Grimes",3000,"Hou@Mia 01:00PM ET",5.625,"Hou"
"WR","Frankie Hammond Jr.",3000,"Pit@KC 01:00PM ET",0.000,"KC"
"WR","Jaron Brown",3000,"Bal@Ari 08:30PM ET",2.467,"Ari"
"WR","Chris Givens",3000,"Bal@Ari 08:30PM ET",1.580,"Bal"
"WR","Keshawn Martin",3000,"NYJ@NE 01:00PM ET",7.167,"NE"
"WR","Myles White",3000,"Dal@NYG 04:25PM ET",0.000,"NYG"
"RB","Jordan Todman",3000,"Pit@KC 01:00PM ET",0.183,"Pit"
"WR","Jarius Wright",3000,"Min@Det 01:00PM ET",4.800,"Min"
"RB","Brandon Bolden",3000,"NYJ@NE 01:00PM ET",0.720,"NE"
"RB","Jonas Gray",3000,"Hou@Mia 01:00PM ET",3.167,"Mia"
"WR","Russell Shepard",3000,"TB@Was 01:00PM ET",0.533,"TB"
"RB","Zurlon Tipton",3000,"NO@Ind 01:00PM ET",0.300,"Ind"
"RB","Tommy Bohanon",3000,"NYJ@NE 01:00PM ET",0.040,"NYJ"
"WR","Ryan Grant",3000,"TB@Was 01:00PM ET",4.667,"Was"
"WR","Markus Wheaton",3000,"Pit@KC 01:00PM ET",6.933,"Pit"
"RB","Nikita Whitlock",3000,"Dal@NYG 04:25PM ET",0.000,"NYG"
"RB","Kyle Juszczyk",3000,"Bal@Ari 08:30PM ET",4.750,"Bal"
"RB","Stepfan Taylor",3000,"Bal@Ari 08:30PM ET",0.417,"Ari"
"RB","Zac Stacy",3000,"NYJ@NE 01:00PM ET",5.175,"NYJ"
"WR","Tony Washington",3000,"Buf@Jax 09:30AM ET",0.200,"Jax"
"RB","Branden Oliver",3000,"Oak@SD 04:05PM ET",2.700,"SD"
"WR","Dri Archer",3000,"Pit@KC 01:00PM ET",0.000,"Pit"
"WR","Marquise Goodwin",3000,"Buf@Jax 09:30AM ET",2.200,"Buf"
"RB","Brandon Wegher",3000,"Phi@Car 08:30PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Phi@Car 08:30PM ET",0.000,"Car"
"WR","Ricardo Lockette",3000,"Sea@SF 08:25PM ET",2.600,"Sea"
"RB","Christine Michael",3000,"Dal@NYG 04:25PM ET",0.250,"Dal"
"RB","Denard Robinson",3000,"Buf@Jax 09:30AM ET",4.733,"Jax"
"WR","Nick Williams",3000,"Atl@Ten 01:00PM ET",1.917,"Atl"
"WR","Devin Street",3000,"Dal@NYG 04:25PM ET",1.020,"Dal"
"WR","Marlon Brown",3000,"Bal@Ari 08:30PM ET",3.067,"Bal"
"WR","Chris Matthews",3000,"Sea@SF 08:25PM ET",1.567,"Sea"
"WR","Aaron Dobson",3000,"NYJ@NE 01:00PM ET",6.367,"NE"
"RB","Bernard Pierce",3000,"Buf@Jax 09:30AM ET",0.960,"Jax"
"WR","Stedman Bailey",3000,"Cle@StL 01:00PM ET",6.220,"StL"
"RB","Spencer Ware",3000,"Pit@KC 01:00PM ET",0.000,"KC"
"WR","Quincy Enunwa",3000,"NYJ@NE 01:00PM ET",3.480,"NYJ"
"WR","Justin Hunter",3000,"Atl@Ten 01:00PM ET",5.520,"Ten"
"WR","Kenny Stills",3000,"Hou@Mia 01:00PM ET",6.140,"Mia"
"RB","Jay Prosch",3000,"Hou@Mia 01:00PM ET",0.467,"Hou"
"RB","Jalston Fowler",3000,"Atl@Ten 01:00PM ET",2.020,"Ten"
"WR","TJ Jones",3000,"Min@Det 01:00PM ET",0.200,"Det"
"RB","Orleans Darkwa",3000,"Dal@NYG 04:25PM ET",0.000,"NYG"
"RB","Roosevelt Nix",3000,"Pit@KC 01:00PM ET",0.000,"Pit"
"WR","Rod Streater",3000,"Oak@SD 04:05PM ET",1.800,"Oak"
"RB","Marcus Murphy",3000,"NO@Ind 01:00PM ET",1.000,"NO"
"RB","Andre Williams",3000,"Dal@NYG 04:25PM ET",3.450,"NYG"
"RB","Rod Smith",3000,"Dal@NYG 04:25PM ET",0.500,"Dal"
"WR","Walt Powell",3000,"Oak@SD 04:05PM ET",0,"Oak"
"RB","Malcolm Johnson",3000,"Cle@StL 01:00PM ET",0.733,"Cle"
"RB","James White",3000,"NYJ@NE 01:00PM ET",1.850,"NE"
"WR","Brandon Coleman",3000,"NO@Ind 01:00PM ET",4.383,"NO"
"RB","Michael Burton",3000,"Min@Det 01:00PM ET",0.517,"Det"
"WR","Albert Wilson",3000,"Pit@KC 01:00PM ET",5.050,"KC"
"RB","Corey Grant",3000,"Buf@Jax 09:30AM ET",0.417,"Jax"
"WR","DeAndrew White",3000,"Sea@SF 08:25PM ET",1.267,"SF"
"WR","Matt Hazel",3000,"Hou@Mia 01:00PM ET",0,"Mia"
"WR","Keith Mumphery",3000,"Hou@Mia 01:00PM ET",3.833,"Hou"
"WR","Justin Hardy",3000,"Atl@Ten 01:00PM ET",0,"Atl"
"WR","J.J. Nelson",3000,"Bal@Ari 08:30PM ET",-0.500,"Ari"
"WR","Andre Holmes",3000,"Oak@SD 04:05PM ET",3.060,"Oak"
"WR","Corey Fuller",3000,"Min@Det 01:00PM ET",1.620,"Det"
"WR","Geremy Davis",3000,"Dal@NYG 04:25PM ET",0.683,"NYG"
"RB","Jamize Olawale",3000,"Oak@SD 04:05PM ET",2.233,"Oak"
"RB","Jerick McKinnon",3000,"Min@Det 01:00PM ET",1.600,"Min"
"WR","Corey Brown",3000,"Phi@Car 08:30PM ET",5.240,"Car"
"RB","Zach Zenner",3000,"Min@Det 01:00PM ET",1.517,"Det"
"RB","Terrence Magee",3000,"Bal@Ari 08:30PM ET",0.000,"Bal"
"RB","Terron Ward",3000,"Atl@Ten 01:00PM ET",3.267,"Atl"
"WR","Chris Conley",3000,"Pit@KC 01:00PM ET",2.683,"KC"
"WR","Quinton Patton",3000,"Sea@SF 08:25PM ET",4.983,"SF"
